Simulation ID,P-Value,KS-Statistic,,P-Values,,
163,1.87316E-35,0.284,1,,,
164,1.86604E-49,0.336,1,,,
165,1.0406E-37,0.293,1,,,
166,2.03719E-52,0.346,1,,,
167,4.56259E-44,0.317,1,,,
168,6.74955E-45,0.32,1,,,
169,6.24476E-54,0.351,1,,,
170,8.98495E-40,0.301,1,,,
171,1.6096E-51,0.343,1,,,
172,4.8472E-50,0.338,1,,,
173,7.28376E-47,0.327,1,,,
174,7.12648E-49,0.334,1,,,
175,6.32169E-51,0.341,1,,,
176,5.0843E-53,0.348,1,,,
177,4.31948E-41,0.306,1,,,
178,7.12648E-49,0.334,1,,,
179,1.18708E-57,0.363,1,,,
180,4.06564E-52,0.345,1,,,
181,1.27876E-44,0.319,1,,,
182,5.99071E-36,0.286,1,,,
183,7.53326E-55,0.354,1,,,
184,1.26508E-41,0.308,1,,,
185,2.33997E-41,0.307,1,,,
186,1.96138E-47,0.329,1,,,
187,1.18708E-57,0.363,1,,,
188,5.23953E-48,0.331,1,,,
189,1.82089E-55,0.356,1,,,
190,6.32169E-51,0.341,1,,,
191,2.68465E-40,0.303,1,,,
192,4.31948E-41,0.306,1,,,
193,7.12648E-49,0.334,1,,,
194,1.05942E-42,0.312,1,,,
195,1.86914E-45,0.322,1,,,
196,5.81026E-35,0.282,1,,,
197,1.46309E-40,0.304,1,,,
198,4.56259E-44,0.317,1,,,
199,1.24907E-50,0.34,1,,,
200,1.61495E-43,0.315,1,,,
201,2.03719E-52,0.346,1,,,
202,9.80666E-46,0.323,1,,,
203,5.78565E-38,0.294,1,,,
204,2.68334E-46,0.325,1,,,
205,1.27876E-44,0.319,1,,,
206,6.32169E-51,0.341,1,,,
207,5.23953E-48,0.331,1,,,
208,1.90068E-36,0.288,1,,,
209,1.05942E-42,0.312,1,,,
210,4.8472E-50,0.338,1,,,
211,3.73327E-31,0.266,1,,,
212,1.2588E-53,0.35,1,,,
213,1.01875E-52,0.347,1,,,
214,2.69995E-48,0.332,1,,,
215,6.32169E-51,0.341,1,,,
216,4.56259E-44,0.317,1,,,
217,1.02024E-34,0.281,1,,,
218,1.2588E-53,0.35,1,,,
219,5.23953E-48,0.331,1,,,
220,5.0843E-53,0.348,1,,,
221,5.13491E-46,0.324,1,,,
222,1.86914E-45,0.322,1,,,
223,9.52007E-50,0.337,1,,,
224,6.74955E-45,0.32,1,,,
225,4.8472E-50,0.338,1,,,
226,6.74955E-45,0.32,1,,,
227,1.24907E-50,0.34,1,,,
228,9.52007E-50,0.337,1,,,
229,3.21035E-38,0.295,1,,,
230,3.67562E-42,0.31,1,,,
231,1.38851E-48,0.333,1,,,
232,4.37484E-32,0.27,1,,,
233,5.23953E-48,0.331,1,,,
234,9.80666E-46,0.323,1,,,
235,1.24907E-50,0.34,1,,,
236,1.82089E-55,0.356,1,,,
237,1.96138E-47,0.329,1,,,
238,7.12648E-49,0.334,1,,,
239,6.74955E-45,0.32,1,,,
240,2.98311E-39,0.299,1,,,
241,6.82588E-42,0.309,1,,,
242,5.78565E-38,0.294,1,,,
243,1.24907E-50,0.34,1,,,
244,2.69995E-48,0.332,1,,,
245,6.74955E-45,0.32,1,,,
246,1.39943E-46,0.326,1,,,
247,1.05942E-42,0.312,1,,,
248,1.96138E-47,0.329,1,,,
249,2.13168E-56,0.359,1,,,
250,1.96138E-47,0.329,1,,,
251,6.32169E-51,0.341,1,,,
252,9.50711E-34,0.277,1,,,
253,1.27876E-44,0.319,1,,,
254,3.02922E-43,0.314,1,,,
255,5.67066E-43,0.313,1,,,
256,1.77781E-38,0.296,1,,,
257,1.6388E-39,0.3,1,,,
258,1.96138E-47,0.329,1,,,
259,3.70739E-55,0.355,1,,,
260,2.69995E-48,0.332,1,,,
261,2.69995E-48,0.332,1,,,
262,1.96138E-47,0.329,1,,,
263,1.86786E-37,0.292,1,,,
264,4.31948E-41,0.306,1,,,
265,1.61495E-43,0.315,1,,,
266,4.8472E-50,0.338,1,,,
267,7.28376E-47,0.327,1,,,
268,1.39943E-46,0.326,1,,,
269,1.39943E-46,0.326,1,,,
270,3.19308E-51,0.342,1,,,
271,3.78349E-47,0.328,1,,,
272,7.95767E-41,0.305,1,,,
273,1.96138E-47,0.329,1,,,
274,1.39943E-46,0.326,1,,,
275,4.31948E-41,0.306,1,,,
276,1.82089E-55,0.356,1,,,
277,6.82588E-42,0.309,1,,,
278,3.78349E-47,0.328,1,,,
279,3.09177E-54,0.352,1,,,
280,3.65033E-49,0.335,1,,,
281,1.96138E-47,0.329,1,,,
282,6.82588E-42,0.309,1,,,
283,1.39943E-46,0.326,1,,,
284,5.0843E-53,0.348,1,,,
285,1.27876E-44,0.319,1,,,
286,1.9753E-42,0.311,1,,,
287,3.67562E-42,0.31,1,,,
288,1.61495E-43,0.315,1,,,
289,6.74955E-45,0.32,1,,,
290,2.98311E-39,0.299,1,,,
291,1.86914E-45,0.322,1,,,
