Simulation ID,P-Value,KS-Statistic,,P-Values,,
726,2.69995E-48,0.332,1,,,
727,7.12648E-49,0.334,1,,,
728,5.98224E-37,0.29,1,,,
729,4.56259E-44,0.317,1,,,
730,6.82588E-42,0.309,1,,,
731,2.41788E-44,0.318,1,,,
732,3.3461E-37,0.291,1,,,
733,1.39943E-46,0.326,1,,,
734,8.98495E-40,0.301,1,,,
735,1.86604E-49,0.336,1,,,
736,2.54688E-32,0.271,1,,,
737,5.98224E-37,0.29,1,,,
738,1.46309E-40,0.304,1,,,
739,1.96138E-47,0.329,1,,,
740,8.98495E-40,0.301,1,,,
741,7.12648E-49,0.334,1,,,
742,3.78349E-47,0.328,1,,,
743,1.27876E-44,0.319,1,,,
744,2.68334E-46,0.325,1,,,
745,2.03719E-52,0.346,1,,,
746,4.31948E-41,0.306,1,,,
747,4.31948E-41,0.306,1,,,
748,2.53237E-53,0.349,1,,,
749,6.74955E-45,0.32,1,,,
750,1.61495E-43,0.315,1,,,
751,6.74955E-45,0.32,1,,,
752,1.27876E-44,0.319,1,,,
753,3.30232E-35,0.283,1,,,
754,5.78565E-38,0.294,1,,,
755,2.69995E-48,0.332,1,,,
756,5.0843E-53,0.348,1,,,
757,7.28376E-47,0.327,1,,,
758,2.41788E-44,0.318,1,,,
759,8.09763E-52,0.344,1,,,
760,1.27876E-44,0.319,1,,,
761,2.76788E-58,0.365,1,,,
762,1.27876E-44,0.319,1,,,
763,1.18708E-57,0.363,1,,,
764,6.74955E-45,0.32,1,,,
765,7.12648E-49,0.334,1,,,
766,9.52007E-50,0.337,1,,,
767,2.41788E-44,0.318,1,,,
768,5.0843E-53,0.348,1,,,
769,1.24907E-50,0.34,1,,,
770,1.24907E-50,0.34,1,,,
771,1.86604E-49,0.336,1,,,
772,1.9753E-42,0.311,1,,,
773,4.06564E-52,0.345,1,,,
774,4.06564E-52,0.345,1,,,
775,1.0406E-37,0.293,1,,,
776,1.86914E-45,0.322,1,,,
777,5.13491E-46,0.324,1,,,
778,4.06564E-52,0.345,1,,,
779,1.86604E-49,0.336,1,,,
780,4.06564E-52,0.345,1,,,
781,5.13491E-46,0.324,1,,,
782,3.02922E-43,0.314,1,,,
783,1.24907E-50,0.34,1,,,
784,2.98311E-39,0.299,1,,,
785,7.12648E-49,0.334,1,,,
786,8.59251E-44,0.316,1,,,
787,9.82535E-39,0.297,1,,,
788,8.59251E-44,0.316,1,,,
789,2.46305E-50,0.339,1,,,
790,2.03719E-52,0.346,1,,,
791,5.13491E-46,0.324,1,,,
792,5.13491E-46,0.324,1,,,
793,4.56259E-44,0.317,1,,,
794,1.6096E-51,0.343,1,,,
795,2.33997E-41,0.307,1,,,
796,3.70739E-55,0.355,1,,,
797,1.39943E-46,0.326,1,,,
798,4.91627E-40,0.302,1,,,
799,1.01875E-52,0.347,1,,,
800,3.67562E-42,0.31,1,,,
801,2.69995E-48,0.332,1,,,
802,1.38851E-48,0.333,1,,,
803,9.80666E-46,0.323,1,,,
804,7.12648E-49,0.334,1,,,
805,2.33997E-41,0.307,1,,,
806,8.59251E-44,0.316,1,,,
807,1.39943E-46,0.326,1,,,
808,5.67066E-43,0.313,1,,,
809,3.67562E-42,0.31,1,,,
810,5.13491E-46,0.324,1,,,
811,2.98311E-39,0.299,1,,,
812,8.09763E-52,0.344,1,,,
813,4.06564E-52,0.345,1,,,
814,8.9255E-56,0.357,1,,,
815,2.53237E-53,0.349,1,,,
816,4.31948E-41,0.306,1,,,
817,1.96138E-47,0.329,1,,,
818,1.05942E-42,0.312,1,,,
819,5.4193E-39,0.298,1,,,
820,1.06738E-36,0.289,1,,,
821,1.05942E-42,0.312,1,,,
822,2.69995E-48,0.332,1,,,
823,7.95767E-41,0.305,1,,,
824,1.6096E-51,0.343,1,,,
825,1.06738E-36,0.289,1,,,
826,1.96138E-47,0.329,1,,,
827,2.68465E-40,0.303,1,,,
828,2.68334E-46,0.325,1,,,
829,4.06564E-52,0.345,1,,,
830,3.06997E-59,0.368,1,,,
831,7.28376E-47,0.327,1,,,
832,1.06738E-36,0.289,1,,,
833,8.98495E-40,0.301,1,,,
834,4.8472E-50,0.338,1,,,
835,1.24907E-50,0.34,1,,,
836,7.28376E-47,0.327,1,,,
837,2.33997E-41,0.307,1,,,
838,1.38851E-48,0.333,1,,,
839,6.82588E-42,0.309,1,,,
840,4.56259E-44,0.317,1,,,
841,8.98495E-40,0.301,1,,,
842,2.68334E-46,0.325,1,,,
843,8.09763E-52,0.344,1,,,
844,5.13491E-46,0.324,1,,,
845,3.09177E-54,0.352,1,,,
846,5.78565E-38,0.294,1,,,
847,9.52007E-50,0.337,1,,,
848,7.95767E-41,0.305,1,,,
849,3.19308E-51,0.342,1,,,
850,9.50711E-34,0.277,1,,,
851,8.98495E-40,0.301,1,,,
852,1.39943E-46,0.326,1,,,
853,6.82588E-42,0.309,1,,,
854,6.32169E-51,0.341,1,,,
855,1.90068E-36,0.288,1,,,
856,1.39943E-46,0.326,1,,,
857,3.55543E-45,0.321,1,,,
858,2.33997E-41,0.307,1,,,
859,1.46309E-40,0.304,1,,,
860,1.39943E-46,0.326,1,,,
861,1.05942E-42,0.312,1,,,
862,6.82588E-42,0.309,1,,,
863,1.27876E-44,0.319,1,,,
864,1.90068E-36,0.288,1,,,
865,4.8472E-50,0.338,1,,,
866,1.77781E-38,0.296,1,,,
867,5.98224E-37,0.29,1,,,
868,2.41788E-44,0.318,1,,,
869,1.90068E-36,0.288,1,,,
870,1.01475E-47,0.33,1,,,
871,5.13491E-46,0.324,1,,,
872,9.52007E-50,0.337,1,,,
873,1.24907E-50,0.34,1,,,
874,1.27876E-44,0.319,1,,,
875,5.13491E-46,0.324,1,,,
876,4.06564E-52,0.345,1,,,
877,1.96138E-47,0.329,1,,,
878,5.23953E-48,0.331,1,,,
879,6.74955E-45,0.32,1,,,
880,1.96138E-47,0.329,1,,,
881,1.46309E-40,0.304,1,,,
882,1.2588E-53,0.35,1,,,
883,2.98311E-39,0.299,1,,,
884,4.06564E-52,0.345,1,,,
885,1.01875E-52,0.347,1,,,
886,1.06738E-36,0.289,1,,,
887,8.98495E-40,0.301,1,,,
888,4.56259E-44,0.317,1,,,
889,3.65033E-49,0.335,1,,,
890,7.12648E-49,0.334,1,,,
891,3.67562E-42,0.31,1,,,
892,9.80666E-46,0.323,1,,,
893,1.03864E-56,0.36,1,,,
894,2.41788E-44,0.318,1,,,
895,5.67066E-43,0.313,1,,,
896,9.82535E-39,0.297,1,,,
897,3.55543E-45,0.321,1,,,
898,3.02922E-43,0.314,1,,,
899,2.69995E-48,0.332,1,,,
900,8.98495E-40,0.301,1,,,
901,8.09763E-52,0.344,1,,,
902,6.74955E-45,0.32,1,,,
903,5.13491E-46,0.324,1,,,
904,8.59251E-44,0.316,1,,,
905,5.67066E-43,0.313,1,,,
906,8.59251E-44,0.316,1,,,
907,1.39943E-46,0.326,1,,,
908,2.33997E-41,0.307,1,,,
909,6.74955E-45,0.32,1,,,
910,4.56259E-44,0.317,1,,,
911,2.53237E-53,0.349,1,,,
912,1.96138E-47,0.329,1,,,
913,1.06038E-35,0.285,1,,,
914,7.12648E-49,0.334,1,,,
915,1.27876E-44,0.319,1,,,
916,8.59251E-44,0.316,1,,,
917,9.82535E-39,0.297,1,,,
918,5.78565E-38,0.294,1,,,
919,5.13491E-46,0.324,1,,,
920,3.19308E-51,0.342,1,,,
921,1.05942E-42,0.312,1,,,
922,1.9753E-42,0.311,1,,,
923,9.82535E-39,0.297,1,,,
924,9.80666E-46,0.323,1,,,
925,1.9753E-42,0.311,1,,,
926,1.24907E-50,0.34,1,,,
927,1.52767E-54,0.353,1,,,
928,5.78565E-38,0.294,1,,,
929,5.67066E-43,0.313,1,,,
930,5.67066E-43,0.313,1,,,
931,7.53326E-55,0.354,1,,,
932,8.58018E-33,0.273,1,,,
933,6.40237E-59,0.367,1,,,
934,1.06038E-35,0.285,1,,,
935,8.09763E-52,0.344,1,,,
936,3.67562E-42,0.31,1,,,
937,4.91627E-40,0.302,1,,,
938,1.06738E-36,0.289,1,,,
939,8.9255E-56,0.357,1,,,
940,1.82089E-55,0.356,1,,,
941,5.73784E-58,0.364,1,,,
942,1.96138E-47,0.329,1,,,
943,4.31948E-41,0.306,1,,,
944,1.39943E-46,0.326,1,,,
945,3.02922E-43,0.314,1,,,
946,3.78349E-47,0.328,1,,,
947,1.77781E-38,0.296,1,,,
948,2.68334E-46,0.325,1,,,
949,9.82535E-39,0.297,1,,,
950,1.46309E-40,0.304,1,,,
951,1.7879E-34,0.28,1,,,
952,2.46305E-50,0.339,1,,,
953,5.99071E-36,0.286,1,,,
954,7.95767E-41,0.305,1,,,
955,1.38851E-48,0.333,1,,,
956,1.46309E-40,0.304,1,,,
957,1.59083E-60,0.372,1,,,
958,1.26508E-41,0.308,1,,,
959,1.05942E-42,0.312,1,,,
960,1.96138E-47,0.329,1,,,
961,1.9753E-42,0.311,1,,,
962,9.80666E-46,0.323,1,,,
963,9.82535E-39,0.297,1,,,
964,1.38851E-48,0.333,1,,,
965,1.24907E-50,0.34,1,,,
966,1.46309E-40,0.304,1,,,
967,1.05942E-42,0.312,1,,,
968,7.95767E-41,0.305,1,,,
969,7.95767E-41,0.305,1,,,
970,1.46309E-40,0.304,1,,,
971,8.9255E-56,0.357,1,,,
972,2.69995E-48,0.332,1,,,
973,4.91627E-40,0.302,1,,,
974,1.01875E-52,0.347,1,,,
975,5.98224E-37,0.29,1,,,
976,4.36628E-56,0.358,1,,,
977,4.31948E-41,0.306,1,,,
978,1.38851E-48,0.333,1,,,
979,1.05942E-42,0.312,1,,,
980,1.86786E-37,0.292,1,,,
981,1.90068E-36,0.288,1,,,
982,7.28376E-47,0.327,1,,,
983,9.52007E-50,0.337,1,,,
984,1.26508E-41,0.308,1,,,
985,1.05942E-42,0.312,1,,,
986,5.67066E-43,0.313,1,,,
987,1.01475E-47,0.33,1,,,
988,4.31948E-41,0.306,1,,,
989,1.27876E-44,0.319,1,,,
990,5.99071E-36,0.286,1,,,
991,1.77781E-38,0.296,1,,,
992,1.01875E-52,0.347,1,,,
993,2.41788E-44,0.318,1,,,
994,9.80666E-46,0.323,1,,,
995,2.03719E-52,0.346,1,,,
996,1.01875E-52,0.347,1,,,
997,1.38851E-48,0.333,1,,,
998,9.50711E-34,0.277,1,,,
999,6.74955E-45,0.32,1,,,
1000,1.61495E-43,0.315,1,,,
